"id","dosen_id","hari","sesi_ujian_id","ruangan_id","keterangan","created_at","updated_at"
"1","1","Senin","1",NULL,"Mengajar Basis Data Lanjut di G7.03","2026-04-28 20:19:06","2026-04-28 20:19:06"
"2","1","Senin","2",NULL,"Mengajar Basis Data Lanjut di G7.03","2026-04-28 20:19:06","2026-04-28 20:19:06"
"3","1","Senin","3",NULL,"Mengajar Basis Data Lanjut di G7.03","2026-04-28 20:19:06","2026-04-28 20:19:06"
"4","1","Senin","4",NULL,"Mengajar Basis Data Lanjut di G7.03","2026-04-28 20:19:06","2026-04-28 20:19:06"
"5","1","Senin","5",NULL,"Mengajar Basis Data Lanjut di G7.03","2026-04-28 20:19:06","2026-04-28 20:19:06"
"6","1","Senin","6",NULL,"Mengajar Basis Data Lanjut di G7.03","2026-04-28 20:19:06","2026-04-28 20:19:06"
"7","1","Senin","7",NULL,"Mengajar Basis Data Lanjut di G7.03","2026-04-28 20:19:06","2026-04-28 20:19:06"
"8","1","Senin","8",NULL,"Mengajar Basis Data Lanjut di G7.03","2026-04-28 20:19:06","2026-04-28 20:19:06"
"9","1","Senin","9",NULL,"Mengajar Basis Data Lanjut di G7.03","2026-04-28 20:19:06","2026-04-28 20:19:06"
"10","1","Senin","10",NULL,"Mengajar Basis Data Lanjut di G7.03","2026-04-28 20:19:06","2026-04-28 20:19:06"
"11","1","Selasa","1",NULL,"Mengajar Basis Data Lanjut di G7.03","2026-04-28 20:19:57","2026-04-28 20:19:57"
"12","1","Selasa","2",NULL,"Mengajar Basis Data Lanjut di G7.03","2026-04-28 20:19:57","2026-04-28 20:19:57"
"13","1","Selasa","3",NULL,"Mengajar Basis Data Lanjut di G7.03","2026-04-28 20:19:57","2026-04-28 20:19:57"
"14","1","Selasa","4",NULL,"Mengajar Basis Data Lanjut di G7.03","2026-04-28 20:19:57","2026-04-28 20:19:57"
"15","1","Selasa","5",NULL,"Mengajar Basis Data Lanjut di G7.03","2026-04-28 20:19:57","2026-04-28 20:19:57"
"16","1","Rabu","1",NULL,"Mengajar Basis Data Lanjut di G7.04","2026-04-28 20:20:56","2026-04-28 20:20:56"
"17","1","Rabu","2",NULL,"Mengajar Basis Data Lanjut di G7.04","2026-04-28 20:20:56","2026-04-28 20:20:56"
"18","1","Rabu","3",NULL,"Mengajar Basis Data Lanjut di G7.04","2026-04-28 20:20:56","2026-04-28 20:20:56"
"19","1","Rabu","4",NULL,"Mengajar Basis Data Lanjut di G7.04","2026-04-28 20:20:56","2026-04-28 20:20:56"
"20","1","Rabu","5",NULL,"Mengajar Basis Data Lanjut di G7.04","2026-04-28 20:20:56","2026-04-28 20:20:56"
"21","1","Rabu","6",NULL,"Mengajar Basis Data Lanjut di G7.04","2026-04-28 20:20:56","2026-04-28 20:20:56"
"22","1","Rabu","7",NULL,"Mengajar Basis Data Lanjut di G7.04","2026-04-28 20:20:56","2026-04-28 20:20:56"
"23","1","Rabu","8",NULL,"Mengajar Basis Data Lanjut di G7.04","2026-04-28 20:20:56","2026-04-28 20:20:56"
"24","1","Rabu","9",NULL,"Mengajar Basis Data Lanjut di G7.04","2026-04-28 20:20:56","2026-04-28 20:20:56"
"25","1","Rabu","10",NULL,"Mengajar Basis Data Lanjut di G7.04","2026-04-28 20:20:56","2026-04-28 20:20:56"
"26","1","Kamis","1","3","Mengajar Proyek Aplikasi Lanjut","2026-04-28 20:22:04","2026-04-28 20:22:04"
"27","1","Kamis","2","3","Mengajar Proyek Aplikasi Lanjut","2026-04-28 20:22:04","2026-04-28 20:22:04"
"28","1","Kamis","3","3","Mengajar Proyek Aplikasi Lanjut","2026-04-28 20:22:04","2026-04-28 20:22:04"
